model,setting,condition_level,char_acc,changed_acc,exact_line_acc,typing_changed_acc,enter_changed_acc
mlp,standard_family,family,0.9779308903460374,0.6806138784496804,0.8951147256882548,0.6558773517608643,0.4840928316116333
mlp,standard_command,command,0.9840741074611665,0.9472335571659944,0.9031727796168973,0.9981883764266968,0.4858878254890442
mlp,paraphrase_family,family,0.974938519225872,0.6369317947940543,0.8975377472201,0.6096552014350891,0.5175694227218628
mlp,paraphrase_command,command,0.9493651558653764,0.7164889996934747,0.738716772769714,0.7183288335800171,0.41325899958610535
gru,standard_family,family,0.967920314489432,0.19371460473354807,0.8535814956285545,0.1428571492433548,0.12054552137851715
gru,standard_command,command,0.9678479096284979,0.2175609929349275,0.8579730696318931,0.2409539520740509,0.13371507823467255
gru,paraphrase_family,family,0.9674199235350704,0.18799270643928917,0.8628769827122769,0.19715142250061035,0.1695643961429596
gru,paraphrase_command,command,0.9669190083609199,0.19530595142343027,0.8639872110460345,0.22191011905670166,0.17222152650356293
transformer,standard_family,family,0.98136417653425,0.6437236240554953,0.8890473488385251,0.591141402721405,0.8161199688911438
transformer,standard_command,command,0.9787297154316275,0.4757581487623872,0.8865728942081882,0.38224637508392334,0.5777947306632996
transformer,paraphrase_family,family,0.9734411574427752,0.43406632726145916,0.8743962962962961,0.36666667461395264,0.47232526540756226
transformer,paraphrase_command,command,0.9564924316696376,0.4957694716445228,0.837156371841666,0.4651539623737335,0.4205506145954132
